description,code,style,topic,keywords
#
"создай класс с перегрузкой операторов для работы с множествами","#include <iostream>\n#include <vector>\n#include <algorithm>\nusing namespace std;\n\nclass IntSet {\n vector<int> elements;\n void sortAndRemoveDuplicates() {\n sort(elements.begin(), elements.end());\n elements.erase(unique(elements.begin(), elements.end()), elements.end());\n }\npublic:\n IntSet() = default;\n IntSet(initializer_list<int> init) : elements(init) {\n sortAndRemoveDuplicates();\n }\n // Объединение множеств\n IntSet operator+(const IntSet& other) const {\n IntSet result = *this;\n result.elements.insert(result.elements.end(), other.elements.begin(), other.elements.end());\n result.sortAndRemoveDuplicates();\n return result;\n }\n // Пересечение множеств\n IntSet operator*(const IntSet& other) const {\n IntSet result;\n for(int elem : elements) {\n if(find(other.elements.begin(), other.elements.end(), elem) != other.elements.end()) {\n result.elements.push_back(elem);\n }\n }\n result.sortAndRemoveDuplicates();\n return result;\n }\n // Разность множеств\n IntSet operator-(const IntSet& other) const {\n IntSet result;\n for(int elem : elements) {\n if(find(other.elements.begin(), other.elements.end(), elem) == other.elements.end()) {\n result.elements.push_back(elem);\n }\n }\n return result;\n }\n // Принадлежность элемента\n bool operator()(int element) const {\n return find(elements.begin(), elements.end(), element) != elements.end();\n }\n // Подмножество\n bool operator<=(const IntSet& other) const {\n for(int elem : elements) {\n if(!other(elem)) return false;\n }\n return true;\n }\n // Добавление элемента\n IntSet& operator+=(int element) {\n if(!(*this)(element)) {\n elements.push_back(element);\n sortAndRemoveDuplicates();\n }\n return *this;\n }\n // Удаление элемента\n IntSet& operator-=(int element) {\n auto it = find(elements.begin(), elements.end(), element);\n if(it != elements.end()) {\n elements.erase(it);\n }\n return *this;\n }\n friend ostream& operator<<(ostream& os, const IntSet& set) {\n os << \"{\";\n for(size_t i = 0; i < set.elements.size(); i++) {\n os << set.elements[i];\n if(i < set.elements.size() - 1) os << \", \";\n }\n return os << \"}\";\n }\n};\n\nint main() {\n IntSet A = {1, 2, 3, 4};\n IntSet B = {3, 4, 5, 6};\n cout << \"A = \" << A << endl;\n cout << \"B = \" << B << endl;\n cout << \"A + B = \" << (A + B) << endl;\n cout << \"A * B = \" << (A * B) << endl;\n cout << \"A - B = \" << (A - B) << endl;\n cout << \"3 in A: \" << A(3) << endl;\n cout << \"7 in A: \" << A(7) << endl;\n A += 7;\n cout << \"After A += 7: \" << A << endl;\n return 0;\n}","using_namespace_std","operator_overloading","set_operations,STL_algorithms,functor"
"создай класс с перегрузкой операторов для работы с множествами без using namespace std","#include <iostream>\n#include <vector>\n#include <algorithm>\n\nclass IntSet {\n std::vector<int> elements;\n void sortAndRemoveDuplicates() {\n std::sort(elements.begin(), elements.end());\n elements.erase(std::unique(elements.begin(), elements.end()), elements.end());\n }\npublic:\n IntSet() = default;\n IntSet(std::initializer_list<int> init) : elements(init) {\n sortAndRemoveDuplicates();\n }\n // Объединение множеств\n IntSet operator+(const IntSet& other) const {\n IntSet result = *this;\n result.elements.insert(result.elements.end(), other.elements.begin(), other.elements.end());\n result.sortAndRemoveDuplicates();\n return result;\n }\n // Пересечение множеств\n IntSet operator*(const IntSet& other) const {\n IntSet result;\n for(int elem : elements) {\n if(std::find(other.elements.begin(), other.elements.end(), elem) != other.elements.end()) {\n result.elements.push_back(elem);\n }\n }\n result.sortAndRemoveDuplicates();\n return result;\n }\n // Разность множеств\n IntSet operator-(const IntSet& other) const {\n IntSet result;\n for(int elem : elements) {\n if(std::find(other.elements.begin(), other.elements.end(), elem) == other.elements.end()) {\n result.elements.push_back(elem);\n }\n }\n return result;\n }\n // Принадлежность элемента\n bool operator()(int element) const {\n return std::find(elements.begin(), elements.end(), element) != elements.end();\n }\n // Подмножество\n bool operator<=(const IntSet& other) const {\n for(int elem : elements) {\n if(!other(elem)) return false;\n }\n return true;\n }\n // Добавление элемента\n IntSet& operator+=(int element) {\n if(!(*this)(element)) {\n elements.push_back(element);\n sortAndRemoveDuplicates();\n }\n return *this;\n }\n // Удаление элемента\n IntSet& operator-=(int element) {\n auto it = std::find(elements.begin(), elements.end(), element);\n if(it != elements.end()) {\n elements.erase(it);\n }\n return *this;\n }\n friend std::ostream& operator<<(std::ostream& os, const IntSet& set) {\n os << \"{\";\n for(size_t i = 0; i < set.elements.size(); i++) {\n os << set.elements[i];\n if(i < set.elements.size() - 1) os << \", \";\n }\n return os << \"}\";\n }\n};\n\nint main() {\n IntSet A = {1, 2, 3, 4};\n IntSet B = {3, 4, 5, 6};\n std::cout << \"A = \" << A << std::endl;\n std::cout << \"B = \" << B << std::endl;\n std::cout << \"A + B = \" << (A + B) << std::endl;\n std::cout << \"A * B = \" << (A * B) << std::endl;\n std::cout << \"A - B = \" << (A - B) << std::endl;\n std::cout << \"3 in A: \" << A(3) << std::endl;\n std::cout << \"7 in A: \" << A(7) << std::endl;\n A += 7;\n std::cout << \"After A += 7: \" << A << std::endl;\n return 0;\n}","std","operator_overloading","set_operations,STL_algorithms,functor,std::vector"
#
"реализуй класс с перегрузкой операторов для работы с датами","#include <iostream>\n#include <ctime>\nusing namespace std;\n\nclass Date {\n int day, month, year;\n bool isValidDate(int d, int m, int y) const {\n if(m < 1 || m > 12) return false;\n if(d < 1) return false;\n int daysInMonth[] = {31,28,31,30,31,30,31,31,30,31,30,31};\n if(m == 2 && isLeapYear(y)) daysInMonth[1] = 29;\n return d <= daysInMonth[m-1];\n }\n bool isLeapYear(int y) const {\n return (y % 4 == 0 && y % 100 != 0) || (y % 400 == 0);\n }\npublic:\n Date(int d = 1, int m = 1, int y = 2000) {\n if(isValidDate(d, m, y)) {\n day = d; month = m; year = y;\n } else {\n day = 1; month = 1; year = 2000;\n }\n }\n // Инкремент даты\n Date& operator++() {\n day++;\n int daysInMonth[] = {31,28,31,30,31,30,31,31,30,31,30,31};\n if(month == 2 && isLeapYear(year)) daysInMonth[1] = 29;\n if(day > daysInMonth[month-1]) {\n day = 1;\n month++;\n if(month > 12) {\n month = 1;\n year++;\n }\n }\n return *this;\n }\n Date operator++(int) {\n Date temp = *this;\n ++(*this);\n return temp;\n }\n // Сложение с количеством дней\n Date operator+(int days) const {\n Date result = *this;\n for(int i = 0; i < days; i++) {\n ++result;\n }\n return result;\n }\n friend Date operator+(int days, const Date& date) {\n return date + days;\n }\n // Разность дат\n int operator-(const Date& other) const {\n // Простая реализация - в реальном коде нужно учитывать все месяцы и годы\n return (year - other.year) * 365 + (month - other.month) * 30 + (day - other.day);\n }\n // Сравнение дат\n bool operator==(const Date& other) const {\n return day == other.day && month == other.month && year == other.year;\n }\n bool operator<(const Date& other) const {\n if(year != other.year) return year < other.year;\n if(month != other.month) return month < other.month;\n return day < other.day;\n }\n bool operator>(const Date& other) const {\n return other < *this;\n }\n bool operator<=(const Date& other) const {\n return !(other < *this);\n }\n bool operator>=(const Date& other) const {\n return !(*this < other);\n }\n friend ostream& operator<<(ostream& os, const Date& date) {\n return os << date.day << \"/\" << date.month << \"/\" << date.year;\n }\n};\n\nint main() {\n Date d1(15, 1, 2023);\n Date d2(20, 1, 2023);\n cout << \"d1: \" << d1 << endl;\n cout << \"d2: \" << d2 << endl;\n ++d1;\n cout << \"After ++d1: \" << d1 << endl;\n Date d3 = d1 + 5;\n cout << \"d1 + 5 days: \" << d3 << endl;\n cout << \"Difference d2 - d1: \" << (d2 - d1) << \" days\" << endl;\n cout << \"d1 < d2: \" << (d1 < d2) << endl;\n return 0;\n}","using_namespace_std","operator_overloading","date_operations,leap_year,comparison"
"реализуй класс с перегрузкой операторов для работы с датами без using namespace std","#include <iostream>\n\nclass Date {\n int day, month, year;\n bool isValidDate(int d, int m, int y) const {\n if(m < 1 || m > 12) return false;\n if(d < 1) return false;\n int daysInMonth[] = {31,28,31,30,31,30,31,31,30,31,30,31};\n if(m == 2 && isLeapYear(y)) daysInMonth[1] = 29;\n return d <= daysInMonth[m-1];\n }\n bool isLeapYear(int y) const {\n return (y % 4 == 0 && y % 100 != 0) || (y % 400 == 0);\n }\npublic:\n Date(int d = 1, int m = 1, int y = 2000) {\n if(isValidDate(d, m, y)) {\n day = d; month = m; year = y;\n } else {\n day = 1; month = 1; year = 2000;\n }\n }\n // Инкремент даты\n Date& operator++() {\n day++;\n int daysInMonth[] = {31,28,31,30,31,30,31,31,30,31,30,31};\n if(month == 2 && isLeapYear(year)) daysInMonth[1] = 29;\n if(day > daysInMonth[month-1]) {\n day = 1;\n month++;\n if(month > 12) {\n month = 1;\n year++;\n }\n }\n return *this;\n }\n Date operator++(int) {\n Date temp = *this;\n ++(*this);\n return temp;\n }\n // Сложение с количеством дней\n Date operator+(int days) const {\n Date result = *this;\n for(int i = 0; i < days; i++) {\n ++result;\n }\n return result;\n }\n friend Date operator+(int days, const Date& date) {\n return date + days;\n }\n // Разность дат\n int operator-(const Date& other) const {\n // Простая реализация - в реальном коде нужно учитывать все месяцы и годы\n return (year - other.year) * 365 + (month - other.month) * 30 + (day - other.day);\n }\n // Сравнение дат\n bool operator==(const Date& other) const {\n return day == other.day && month == other.month && year == other.year;\n }\n bool operator<(const Date& other) const {\n if(year != other.year) return year < other.year;\n if(month != other.month) return month < other.month;\n return day < other.day;\n }\n bool operator>(const Date& other) const {\n return other < *this;\n }\n bool operator<=(const Date& other) const {\n return !(other < *this);\n }\n bool operator>=(const Date& other) const {\n return !(*this < other);\n }\n friend std::ostream& operator<<(std::ostream& os, const Date& date) {\n return os << date.day << \"/\" << date.month << \"/\" << date.year;\n }\n};\n\nint main() {\n Date d1(15, 1, 2023);\n Date d2(20, 1, 2023);\n std::cout << \"d1: \" << d1 << std::endl;\n std::cout << \"d2: \" << d2 << std::endl;\n ++d1;\n std::cout << \"After ++d1: \" << d1 << std::endl;\n Date d3 = d1 + 5;\n std::cout << \"d1 + 5 days: \" << d3 << std::endl;\n std::cout << \"Difference d2 - d1: \" << (d2 - d1) << \" days\" << std::endl;\n std::cout << \"d1 < d2: \" << (d1 < d2) << std::endl;\n return 0;\n}","std","operator_overloading","date_operations,leap_year,comparison,std::cout"
#
"напиши класс с перегрузкой операторов для работы с дробями","#include <iostream>\n#include <numeric>\nusing namespace std;\n\nclass Fraction {\n int numerator, denominator;\n void simplify() {\n int gcdVal = gcd(numerator, denominator);\n numerator /= gcdVal;\n denominator /= gcdVal;\n if(denominator < 0) {\n numerator = -numerator;\n denominator = -denominator;\n }\n }\npublic:\n Fraction(int num = 0, int den = 1) : numerator(num), denominator(den) {\n if(denominator == 0) denominator = 1;\n simplify();\n }\n // Арифметические операторы\n Fraction operator+(const Fraction& other) const {\n return Fraction(numerator * other.denominator + other.numerator * denominator,\n denominator * other.denominator);\n }\n Fraction operator-(const Fraction& other) const {\n return Fraction(numerator * other.denominator - other.numerator * denominator,\n denominator * other.denominator);\n }\n Fraction operator*(const Fraction& other) const {\n return Fraction(numerator * other.numerator, denominator * other.denominator);\n }\n Fraction operator/(const Fraction& other) const {\n return Fraction(numerator * other.denominator, denominator * other.numerator);\n }\n // Составные присваивания\n Fraction& operator+=(const Fraction& other) {\n *this = *this + other;\n return *this;\n }\n Fraction& operator-=(const Fraction& other) {\n *this = *this - other;\n return *this;\n }\n // Унарные операторы\n Fraction operator+() const { return *this; }\n Fraction operator-() const { return Fraction(-numerator, denominator); }\n // Инкремент/декремент\n Fraction& operator++() {\n numerator += denominator;\n simplify();\n return *this;\n }\n Fraction operator++(int) {\n Fraction temp = *this;\n numerator += denominator;\n simplify();\n return temp;\n }\n // Сравнение\n bool operator==(const Fraction& other) const {\n return numerator == other.numerator && denominator == other.denominator;\n }\n bool operator!=(const Fraction& other) const {\n return !(*this == other);\n }\n bool operator<(const Fraction& other) const {\n return numerator * other.denominator < other.numerator * denominator;\n }\n bool operator>(const Fraction& other) const {\n return other < *this;\n }\n // Приведение к double\n operator double() const {\n return static_cast<double>(numerator) / denominator;\n }\n friend ostream& operator<<(ostream& os, const Fraction& f) {\n if(f.denominator == 1) return os << f.numerator;\n return os << f.numerator << \"/\" << f.denominator;\n }\n friend istream& operator>>(istream& is, Fraction& f) {\n char slash;\n is >> f.numerator >> slash >> f.denominator;\n if(f.denominator == 0) f.denominator = 1;\n f.simplify();\n return is;\n }\n};\n\nint main() {\n Fraction f1(1, 2), f2(3, 4);\n cout << \"f1 = \" << f1 << endl;\n cout << \"f2 = \" << f2 << endl;\n cout << \"f1 + f2 = \" << (f1 + f2) << endl;\n cout << \"f1 - f2 = \" << (f1 - f2) << endl;\n cout << \"f1 * f2 = \" << (f1 * f2) << endl;\n cout << \"f1 / f2 = \" << (f1 / f2) << endl;\n cout << \"f1 as double: \" << double(f1) << endl;\n ++f1;\n cout << \"After ++f1: \" << f1 << endl;\n return 0;\n}","using_namespace_std","operator_overloading","fractions,arithmetic,gcd,simplification"
"напиши класс с перегрузкой операторов для работы с дробями без using namespace std","#include <iostream>\n#include <numeric>\n\nclass Fraction {\n int numerator, denominator;\n void simplify() {\n int gcdVal = std::gcd(numerator, denominator);\n numerator /= gcdVal;\n denominator /= gcdVal;\n if(denominator < 0) {\n numerator = -numerator;\n denominator = -denominator;\n }\n }\npublic:\n Fraction(int num = 0, int den = 1) : numerator(num), denominator(den) {\n if(denominator == 0) denominator = 1;\n simplify();\n }\n // Арифметические операторы\n Fraction operator+(const Fraction& other) const {\n return Fraction(numerator * other.denominator + other.numerator * denominator,\n denominator * other.denominator);\n }\n Fraction operator-(const Fraction& other) const {\n return Fraction(numerator * other.denominator - other.numerator * denominator,\n denominator * other.denominator);\n }\n Fraction operator*(const Fraction& other) const {\n return Fraction(numerator * other.numerator, denominator * other.denominator);\n }\n Fraction operator/(const Fraction& other) const {\n return Fraction(numerator * other.denominator, denominator * other.numerator);\n }\n // Составные присваивания\n Fraction& operator+=(const Fraction& other) {\n *this = *this + other;\n return *this;\n }\n Fraction& operator-=(const Fraction& other) {\n *this = *this - other;\n return *this;\n }\n // Унарные операторы\n Fraction operator+() const { return *this; }\n Fraction operator-() const { return Fraction(-numerator, denominator); }\n // Инкремент/декремент\n Fraction& operator++() {\n numerator += denominator;\n simplify();\n return *this;\n }\n Fraction operator++(int) {\n Fraction temp = *this;\n numerator += denominator;\n simplify();\n return temp;\n }\n // Сравнение\n bool operator==(const Fraction& other) const {\n return numerator == other.numerator && denominator == other.denominator;\n }\n bool operator!=(const Fraction& other) const {\n return !(*this == other);\n }\n bool operator<(const Fraction& other) const {\n return numerator * other.denominator < other.numerator * denominator;\n }\n bool operator>(const Fraction& other) const {\n return other < *this;\n }\n // Приведение к double\n operator double() const {\n return static_cast<double>(numerator) / denominator;\n }\n friend std::ostream& operator<<(std::ostream& os, const Fraction& f) {\n if(f.denominator == 1) return os << f.numerator;\n return os << f.numerator << \"/\" << f.denominator;\n }\n friend std::istream& operator>>(std::istream& is, Fraction& f) {\n char slash;\n is >> f.numerator >> slash >> f.denominator;\n if(f.denominator == 0) f.denominator = 1;\n f.simplify();\n return is;\n }\n};\n\nint main() {\n Fraction f1(1, 2), f2(3, 4);\n std::cout << \"f1 = \" << f1 << std::endl;\n std::cout << \"f2 = \" << f2 << std::endl;\n std::cout << \"f1 + f2 = \" << (f1 + f2) << std::endl;\n std::cout << \"f1 - f2 = \" << (f1 - f2) << std::endl;\n std::cout << \"f1 * f2 = \" << (f1 * f2) << std::endl;\n std::cout << \"f1 / f2 = \" << (f1 / f2) << std::endl;\n std::cout << \"f1 as double: \" << double(f1) << std::endl;\n ++f1;\n std::cout << \"After ++f1: \" << f1 << std::endl;\n return 0;\n}","std","operator_overloading","fractions,arithmetic,gcd,simplification,std::gcd"
#
"создай класс с перегрузкой операторов для работы с полиномами","#include <iostream>\n#include <vector>\n#include <cmath>\nusing namespace std;\n\nclass Polynomial {\n vector<double> coefficients; // coefficients[0] - свободный член\npublic:\n Polynomial(initializer_list<double> coeffs) : coefficients(coeffs) {\n // Удаляем ведущие нули\n while(coefficients.size() > 1 && coefficients.back() == 0) {\n coefficients.pop_back();\n }\n }\n // Степень полинома\n size_t degree() const {\n return coefficients.size() - 1;\n }\n // Вычисление значения\n double operator()(double x) const {\n double result = 0;\n double power = 1;\n for(double coeff : coefficients) {\n result += coeff * power;\n power *= x;\n }\n return result;\n }\n // Сложение полиномов\n Polynomial operator+(const Polynomial& other) const {\n vector<double> resultCoeffs(max(coefficients.size(), other.coefficients.size()), 0);\n for(size_t i = 0; i < coefficients.size(); i++) {\n resultCoeffs[i] += coefficients[i];\n }\n for(size_t i = 0; i < other.coefficients.size(); i++) {\n resultCoeffs[i] += other.coefficients[i];\n }\n return Polynomial(resultCoeffs.begin(), resultCoeffs.end());\n }\n // Умножение на скаляр\n Polynomial operator*(double scalar) const {\n vector<double> resultCoeffs = coefficients;\n for(double& coeff : resultCoeffs) {\n coeff *= scalar;\n }\n return Polynomial(resultCoeffs.begin(), resultCoeffs.end());\n }\n friend Polynomial operator*(double scalar, const Polynomial& poly) {\n return poly * scalar;\n }\n // Производная\n Polynomial derivative() const {\n if(coefficients.size() <= 1) return Polynomial{0};\n vector<double> derivCoeffs(coefficients.size() - 1);\n for(size_t i = 1; i < coefficients.size(); i++) {\n derivCoeffs[i-1] = coefficients[i] * i;\n }\n return Polynomial(derivCoeffs.begin(), derivCoeffs.end());\n }\n friend ostream& operator<<(ostream& os, const Polynomial& poly) {\n for(int i = poly.coefficients.size() - 1; i >= 0; i--) {\n if(poly.coefficients[i] != 0) {\n if(i < poly.coefficients.size() - 1) {\n os << (poly.coefficients[i] > 0 ? \" + \" : \" - \");\n }\n double absCoeff = abs(poly.coefficients[i]);\n if(absCoeff != 1 || i == 0) {\n os << absCoeff;\n }\n if(i > 0) {\n os << \"x\";\n if(i > 1) os << \"^\" << i;\n }\n }\n }\n return os;\n }\n};\n\nint main() {\n Polynomial p1{1, 2, 1}; // x² + 2x + 1\n Polynomial p2{1, -1}; // x - 1\n cout << \"p1(x) = \" << p1 << endl;\n cout << \"p2(x) = \" << p2 << endl;\n cout << \"p1 + p2 = \" << (p1 + p2) << endl;\n cout << \"p1(2) = \" << p1(2) << endl;\n cout << \"p1' = \" << p1.derivative() << endl;\n cout << \"3 * p1 = \" << (3 * p1) << endl;\n return 0;\n}","using_namespace_std","operator_overloading","polynomials,derivative,functor,vector"
"создай класс с перегрузкой операторов для работы с полиномами без using namespace std","#include <iostream>\n#include <vector>\n#include <cmath>\n\nclass Polynomial {\n std::vector<double> coefficients; // coefficients[0] - свободный член\npublic:\n Polynomial(std::initializer_list<double> coeffs) : coefficients(coeffs) {\n // Удаляем ведущие нули\n while(coefficients.size() > 1 && coefficients.back() == 0) {\n coefficients.pop_back();\n }\n }\n // Степень полинома\n size_t degree() const {\n return coefficients.size() - 1;\n }\n // Вычисление значения\n double operator()(double x) const {\n double result = 0;\n double power = 1;\n for(double coeff : coefficients) {\n result += coeff * power;\n power *= x;\n }\n return result;\n }\n // Сложение полиномов\n Polynomial operator+(const Polynomial& other) const {\n std::vector<double> resultCoeffs(std::max(coefficients.size(), other.coefficients.size()), 0);\n for(size_t i = 0; i < coefficients.size(); i++) {\n resultCoeffs[i] += coefficients[i];\n }\n for(size_t i = 0; i < other.coefficients.size(); i++) {\n resultCoeffs[i] += other.coefficients[i];\n }\n return Polynomial(resultCoeffs.begin(), resultCoeffs.end());\n }\n // Умножение на скаляр\n Polynomial operator*(double scalar) const {\n std::vector<double> resultCoeffs = coefficients;\n for(double& coeff : resultCoeffs) {\n coeff *= scalar;\n }\n return Polynomial(resultCoeffs.begin(), resultCoeffs.end());\n }\n friend Polynomial operator*(double scalar, const Polynomial& poly) {\n return poly * scalar;\n }\n // Производная\n Polynomial derivative() const {\n if(coefficients.size() <= 1) return Polynomial{0};\n std::vector<double> derivCoeffs(coefficients.size() - 1);\n for(size_t i = 1; i < coefficients.size(); i++) {\n derivCoeffs[i-1] = coefficients[i] * i;\n }\n return Polynomial(derivCoeffs.begin(), derivCoeffs.end());\n }\n friend std::ostream& operator<<(std::ostream& os, const Polynomial& poly) {\n for(int i = poly.coefficients.size() - 1; i >= 0; i--) {\n if(poly.coefficients[i] != 0) {\n if(i < poly.coefficients.size() - 1) {\n os << (poly.coefficients[i] > 0 ? \" + \" : \" - \");\n }\n double absCoeff = std::abs(poly.coefficients[i]);\n if(absCoeff != 1 || i == 0) {\n os << absCoeff;\n }\n if(i > 0) {\n os << \"x\";\n if(i > 1) os << \"^\" << i;\n }\n }\n }\n return os;\n }\n};\n\nint main() {\n Polynomial p1{1, 2, 1}; // x² + 2x + 1\n Polynomial p2{1, -1}; // x - 1\n std::cout << \"p1(x) = \" << p1 << std::endl;\n std::cout << \"p2(x) = \" << p2 << std::endl;\n std::cout << \"p1 + p2 = \" << (p1 + p2) << std::endl;\n std::cout << \"p1(2) = \" << p1(2) << std::endl;\n std::cout << \"p1' = \" << p1.derivative() << std::endl;\n std::cout << \"3 * p1 = \" << (3 * p1) << std::endl;\n return 0;\n}","std","operator_overloading","polynomials,derivative,functor,vector,std::abs"
#



# ----------------------------------------------------------------------------------------------------------------------------------------
#       - дружественные функции/классы          friends                                                         (1%) ~50 строк          01
# ----------------------------------------------------------------------------------------------------------------------------------------
#
"реализуй класс с дружественной функцией для доступа к приватным полям","#include <iostream>\nusing namespace std;\n\nclass Box {\n double width;\npublic:\n Box(double w) : width(w) {}\n friend void printWidth(const Box& box); // Дружественная функция\n};\n\nvoid printWidth(const Box& box) {\n cout << \"Width of box: \" << box.width << endl;\n}\n\nint main() {\n Box box(10.5);\n printWidth(box);\n return 0;\n}","using_namespace_std","friends","friend_function,private,access,cout"
"реализуй класс с дружественной функцией для доступа к приватным полям без using namespace std","#include <iostream>\n\nclass Box {\n double width;\npublic:\n Box(double w) : width(w) {}\n friend void printWidth(const Box& box); // Дружественная функция\n};\n\nvoid printWidth(const Box& box) {\n std::cout << \"Width of box: \" << box.width << std::endl;\n}\n\nint main() {\n Box box(10.5);\n printWidth(box);\n return 0;\n}","std","friends","friend_function,private,access,std::cout"
#


# ----------------------------------------------------------------------------------------------------------------------------------------
#
# БЛОК 4: STL                                   Standard Template Library
#
# ----------------------------------------------------------------------------------------------------------------------------------------
#       - контейнеры                            stl_containers                  vector, list, map, set           (2%) ~100 строк        14
# ----------------------------------------------------------------------------------------------------------------------------------------
#
"создай программу которая вычисляет скалярное произведение векторов","#include <iostream>\n#include <vector>\n#include <numeric>\nusing namespace std;\n\nint main() {\n    vector<int> vec1 = {1, 2, 3};\n    vector<int> vec2 = {4, 5, 6};\n    \n    if (vec1.size() != vec2.size()) {\n        cout << \"Векторы разной длины!\" << endl;\n        return 1;\n    }\n    \n    int dot_product = inner_product(vec1.begin(), vec1.end(), vec2.begin(), 0);\n    cout << \"Скалярное произведение: \" << dot_product << endl;\n    return 0;\n}","using_namespace_std","stl_containers","cout,if,inner_product,int,vector"
"создай программу которая вычисляет скалярное произведение векторов без using namespace std","#include <iostream>\n#include <vector>\n#include <numeric>\n\nint main() {\n    std::vector<int> vec1 = {1, 2, 3};\n    std::vector<int> vec2 = {4, 5, 6};\n    \n    if (vec1.size() != vec2.size()) {\n        std::cout << \"Векторы разной длины!\" << std::endl;\n        return 1;\n    }\n    \n    int dot_product = std::inner_product(vec1.begin(), vec1.end(), vec2.begin(), 0);\n    std::cout << \"Скалярное произведение: \" << dot_product << std::endl;\n    return 0;\n}","std","stl_containers","std::cout,if,std::inner_product,int,std::vector"
#
"Напиши программу которая демонстрирует операций с динамическим массивом using vector","#include <iostream>\n#include <vector>\n#include <algorithm>\nusing namespace std;\n\nint main() {\n    vector<int> numbers = {5, 2, 8, 1, 9};\n    \n    cout << \"Исходный вектор: \";\n    for (int num : numbers) {\n        cout << num << \" \";\n    }\n    cout << endl;\n    \n    sort(numbers.begin(), numbers.end());\n    \n    cout << \"Отсортированный вектор: \";\n    for (int num : numbers) {\n        cout << num << \" \";\n    }\n    cout << endl;\n    \n    numbers.push_back(10);\n    cout << \"После добавления элемента: \";\n    for (int num : numbers) {\n        cout << num << \" \";\n    }\n    cout << endl;\n    \n    return 0;\n}","using_namespace_std","stl_containers","vector,sort,push_back,range_based_for,algorithm"
"Напиши программу которая демонстрирует операций с динамическим массивом using std::vector без using namespace std","#include <iostream>\n#include <vector>\n#include <algorithm>\n\nint main() {\n    std::vector<int> numbers = {5, 2, 8, 1, 9};\n    \n    std::cout << \"Исходный вектор: \";\n    for (int num : numbers) {\n        std::cout << num << \" \";\n    }\n    std::cout << std::endl;\n    \n    std::sort(numbers.begin(), numbers.end());\n    \n    std::cout << \"Отсортированный вектор: \";\n    for (int num : numbers) {\n        std::cout << num << \" \";\n    }\n    std::cout << std::endl;\n    \n    numbers.push_back(10);\n    std::cout << \"После добавления элемента: \";\n    for (int num : numbers) {\n        std::cout << num << \" \";\n    }\n    std::cout << std::endl;\n    \n    return 0;\n}","std","stl_containers","std::vector,std::sort,push_back,range_based_for,algorithm"
#
"Напиши программу которая реализует телефонный справочник с использованием map","#include <iostream>\n#include <map>\n#include <string>\nusing namespace std;\n\nint main() {\n    map<string, int> ageMap;\n    \n    ageMap[\"Анна\"] = 25;\n    ageMap[\"Иван\"] = 30;\n    ageMap[\"Мария\"] = 28;\n    \n    cout << \"Возраст студентов:\" << endl;\n    for (const auto& pair : ageMap) {\n        cout << pair.first << \": \" << pair.second << \" лет\" << endl;\n    }\n    \n    cout << \"\\nВозраст Ивана: \" << ageMap[\"Иван\"] << \" лет\" << endl;\n    \n    return 0;\n}","using_namespace_std","stl_containers","map,associative_container,range_based_for,operator_bracket"
"Напиши программу которая реализует телефонный справочник с использованием std::map без using namespace std","#include <iostream>\n#include <map>\n#include <string>\n\nint main() {\n    std::map<std::string, int> ageMap;\n    \n    ageMap[\"Анна\"] = 25;\n    ageMap[\"Иван\"] = 30;\n    ageMap[\"Мария\"] = 28;\n    \n    std::cout << \"Возраст студентов:\" << std::endl;\n    for (const auto& pair : ageMap) {\n        std::cout << pair.first << \": \" << pair.second << \" лет\" << std::endl;\n    }\n    \n    std::cout << \"\\nВозраст Ивана: \" << ageMap[\"Иван\"] << \" лет\" << std::endl;\n    \n    return 0;\n}","std","stl_containers","std::map,associative_container,range_based_for,operator_bracket"
#
"создай программу которая демонстрирует инициализацию и обход элементов динамического массива с использованием vector","#include <iostream>\n#include <vector>\nusing namespace std;\n\nint main() {\n    vector<int> vec = {1, 2, 3, 4, 5};\n    cout << \"Вектор: \";\n    for (int num : vec) {\n        cout << num << \" \";\n    }\n    cout << endl;\n    return 0;\n}","using_namespace_std","stl_containers","vector,initialization,range_based_for,traversal"
"создай программу которая демонстрирует инициализацию и обход элементов динамического массива с использованием std::vector без using namespace std","#include <iostream>\n#include <vector>\n\nint main() {\n    std::vector<int> vec = {1, 2, 3, 4, 5};\n    std::cout << \"Вектор: \";\n    for (int num : vec) {\n        std::cout << num << \" \";\n    }\n    std::cout << std::endl;\n    return 0;\n}","std","stl_containers","std::vector,initialization,range_based_for,traversal"
#
"напиши программу которая добавляет элемент в вектор","#include <iostream>\n#include <vector>\nusing namespace std;\n\nint main() {\n    vector<int> vec = {1, 2, 3};\n    vec.push_back(4);\n    cout << \"Вектор после добавления: \";\n    for (int num : vec) {\n        cout << num << \" \";\n    }\n    cout << endl;\n    return 0;\n}","using_namespace_std","stl_containers","vector,push_back,modification,range_based_for"
"напиши программу которая добавляет элемент в вектор без using namespace std","#include <iostream>\n#include <vector>\n\nint main() {\n    std::vector<int> vec = {1, 2, 3};\n    vec.push_back(4);\n    std::cout << \"Вектор после добавления: \";\n    for (int num : vec) {\n        std::cout << num << \" \";\n    }\n    std::cout << std::endl;\n    return 0;\n}","std","stl_containers","std::vector,push_back,modification,range_based_for"
#
